Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
FIAT IDEA,1.6 MPI ESSENCE 16V FLEX 4P AUTOMATIZADO,Y,2014/2014,144000 km,Osasco - SP,Loja,R$ 36900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,49515 km,Várzea Grande - MT,Loja,R$ 107990
FORD ECOSPORT,2.0 DIRECT FLEX TITANIUM AUTOMÁTICO,Y,2018/2019,60543 km,São Vicente - SP,Loja,R$ 85900
CHEVROLET SPIN,1.8 ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2017/2018,92050 km,Brasília - DF,Loja,R$ 65900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2021/2021,0 km,Itaúna - MG,Loja,R$ 144500
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,38130 km,Piedade - SP,Loja,R$ 112900
CITROËN C4 CACTUS,1.6 VTI 120 FLEX FEEL PACK EAT6,Y,2021/2022,0 km,Criciúma - SC,Concessionária,R$ 109990
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2019/2020,53290 km,Anápolis - GO,Concessionária,R$ 76990
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2020/2020,40000 km,Lagoa da Prata - MG,Loja,R$ 79800
NISSAN KICKS,1.6 16V FLEXSTART EXCLUSIVE XTRONIC,Y,2021/2022,0 km,Criciúma - SC,Concessionária,R$ 128690
HYUNDAI CRETA,1.6 16V FLEX ACTION AUTOMÁTICO,Y,2021/2022,0 km,Timbó - SC,Loja,R$ 104900
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2020/2021,27894 km,Várzea Grande - MT,Loja,R$ 93990
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2018/2019,64321 km,Joaçaba - SC,Loja,R$ 88900
RENAULT DUSTER,2.0 16V HI-FLEX DYNAMIQUE AUTOMÁTICO,Y,2018/2019,50000 km,Praia Grande - SP,Loja,R$ 77900
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,26300 km,Campinas - SP,Concessionária,R$ 119900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2020/2021,17764 km,Joinville - SC,Loja,R$ 104900
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2019/2020,59946 km,Joinville - SC,Loja,R$ 79900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,43952 km,Joinville - SC,Loja,R$ 58900
RENAULT LOGAN,1.0 12V SCE FLEX LIFE MANUAL,N,2019/2020,41915 km,Joinville - SC,Loja,R$ 56900
RENAULT LOGAN,1.0 12V SCE FLEX LIFE MANUAL,N,2019/2020,49768 km,Belo Horizonte - MG,Concessionária,R$ 48990
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2020/2020,16000 km,Rio de Janeiro - RJ,Loja,R$ 84900
PEUGEOT 2008,1.6 16V FLEX GRIFFE 4P AUTOMÁTICO,Y,2019/2020,11000 km,Criciúma - SC,Concessionária,R$ 91900
FIAT IDEA,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,N,2011/2012,86629 km,Poços de Caldas - MG,Pessoa Física,R$ 25500
RENAULT LOGAN,1.6 EXPRESSION 8V FLEX 4P MANUAL,N,2012/2013,81391 km,São Paulo - SP,Pessoa Física,R$ 20500
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2019/2020,6500 km,São Bernardo do Campo - SP,Pessoa Física,R$ 90000
CITROËN C4 PICASSO,2.0 16V GASOLINA 4P AUTOMÁTICO,Y,2009/2010,90000 km,Salvador - BA,Pessoa Física,R$ 25000
CHEVROLET SPIN,1.8 LT 8V FLEX 4P AUTOMÁTICO,Y,2013/2013,95150 km,Ilhéus - BA,Pessoa Física,R$ 37070
RENAULT DUSTER,1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL,N,2013/2013,81500 km,Florianópolis - SC,Pessoa Física,R$ 39999
FIAT PALIO,1.6 TREKKING WEEKEND 16V FLEX 4P MANUAL,N,2012/2013,93000 km,Mauá - SP,Pessoa Física,R$ 24000
PEUGEOT 2008,1.6 16V THP FLEX GRIFFE 4P MANUAL,N,2015/2016,67134 km,São João de Meriti - RJ,Pessoa Física,R$ 47500
FIAT IDEA,1.8 MPI ADVENTURE 16V FLEX 4P MANUAL,N,2012/2012,115000 km,Paranaíba - MS,Pessoa Física,R$ 26000
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2018/2019,18000 km,Rio de Janeiro - RJ,Loja,R$ 103900
KIA CARENS,2.0 EX 16V GASOLINA 4P AUTOMÁTICO,Y,2011/2011,112000 km,Florianópolis - SC,Pessoa Física,R$ 29500
CITROËN C4 PICASSO,2.0 16V GASOLINA 4P AUTOMÁTICO,Y,2011/2012,90000 km,São Paulo - SP,Pessoa Física,R$ 29900
KIA CARENS,2.0 EX 16V GASOLINA 4P AUTOMÁTICO,Y,2012/2013,75000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 40000
RENAULT LOGAN,1.6 EXPRESSION 8V FLEX 4P MANUAL,N,2009/2009,145000 km,Recife - PE,Pessoa Física,R$ 17500
FIAT GRAND SIENA,1.6 MPI ESSENCE 16V FLEX 4P AUTOMATIZADO,Y,2015/2016,18025 km,Campo Grande - MS,Pessoa Física,R$ 39000
NISSAN LIVINA,1.6 SL X-GEAR 16V FLEX 4P MANUAL,N,2010/2011,90000 km,Barra do Piraí - RJ,Pessoa Física,R$ 25300
CITROËN C3 PICASSO,1.6 FLEX TENDANCE BVA,Y,2015/2015,45000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 35900
FIAT IDEA,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,N,2014/2014,70857 km,Juiz de Fora - MG,Loja,R$ 36900
CITROËN C3 PICASSO,1.6 FLEX GLX MANUAL,N,2012/2012,86000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 28000
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2019,23000 km,Recife - PE,Pessoa Física,R$ 80000
MERCEDES-BENZ GLB 200,1.3 CGI GASOLINA LAUNCH EDITION 7G-DCT,Y,2020/2020,7541 km,Barueri - SP,Pessoa Física,R$ 290000
CITROËN XSARA PICASSO,1.6 I GLX 16V FLEX 4P MANUAL,N,2009/2010,60000 km,Recife - PE,Pessoa Física,R$ 20500
SUZUKI S-CROSS,1.4 16V VVT TURBO GASOLINA 4STYLE ALLGRIP AUTOMÁTICO,Y,2018/2019,27855 km,São Paulo - SP,Concessionária,R$ 114790
FIAT CRONOS,1.8 E.TORQ FLEX PRECISION AT6,Y,2017/2018,12913 km,Belo Horizonte - MG,Loja,R$ 66300
SUZUKI VITARA,1.6 16V GASOLINA 4YOU AUTOMÁTICO,Y,2019/2020,14000 km,São Bernardo do Campo - SP,Concessionária,R$ 108900
SUZUKI S-CROSS,1.4 16V VVT TURBO GASOLINA 4STYLE ALLGRIP AUTOMÁTICO,Y,2019/2020,13756 km,São Paulo - SP,Concessionária,R$ 139900
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2019/2019,17500 km,Brasília - DF,Pessoa Física,R$ 98000
RENAULT DUSTER,1.6 16V SCE FLEX DYNAMIQUE X-TRONIC,Y,2019/2020,100 km,Rio de Janeiro - RJ,Loja,R$ 62151
CITROËN C4 GRAND PICASSO,1.6 INTENSIVE 16V TURBO GASOLINA 4P AUTOMÁTICO,Y,2017/2017,77850 km,São Paulo - SP,Concessionária,R$ 89900
FIAT DOBLÒ,1.4 MPI ELX 8V FLEX 4P MANUAL,N,2010/2011,120000 km,Parnamirim - RN,Pessoa Física,R$ 32500
FORD ECOSPORT,2.0 DIRECT FLEX TITANIUM AUTOMÁTICO,Y,2018/2019,29100 km,São Paulo - SP,Concessionária,R$ 78990
CHEVROLET SPIN,1.8 LT 8V FLEX 4P AUTOMÁTICO,Y,2013/2013,108000 km,Caratinga - MG,Pessoa Física,R$ 37000
VOLKSWAGEN JETTA,2.5 I VARIANT 20V 170CV GASOLINA 4P TIPTRONIC,Y,2011/2011,102000 km,São Paulo - SP,Pessoa Física,R$ 39900
SUZUKI VITARA,1.6 16V GASOLINA 4ALL AUTOMÁTICO,Y,2019/2020,9000 km,Belo Horizonte - MG,Concessionária,R$ 109900
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2018/2019,13475 km,São Gonçalo - RJ,Loja,R$ 98900
JEEP RENEGADE,2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO,Y,2016/2016,55500 km,Belo Horizonte - MG,Pessoa Física,R$ 102900
VOLKSWAGEN GOLF,1.4 TSI VARIANT COMFORTLINE 16V GASOLINA 4P AUTOMÁTICO,Y,2015/2015,80073 km,São Paulo - SP,Concessionária,R$ 69900
RENAULT LOGAN,1.0 EXPRESSION 16V FLEX 4P MANUAL,N,2012/2012,92719 km,Uberaba - MG,Pessoa Física,R$ 21000
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2019,100 km,Rio de Janeiro - RJ,Loja,R$ 65095
NISSAN KICKS,1.6 16V FLEXSTART SV 4P XTRONIC,Y,2018/2019,21000 km,São Paulo - SP,Concessionária,R$ 92490
HYUNDAI CRETA,1.6 16V FLEX LIMITED AUTOMÁTICO,Y,2021/2021,2600 km,Santa Vitória - MG,Pessoa Física,R$ 109500
FORD ECOSPORT,2.0 TITANIUM 16V FLEX 4P POWERSHIFT,Y,2015/2015,65000 km,Pindamonhangaba - SP,Pessoa Física,R$ 55000
KIA CARNIVAL,3.5 EX V6 24V GASOLINA 4P AUTOMÁTICO,Y,2014/2015,82000 km,São Paulo - SP,Loja,R$ 89900
KIA CARNIVAL,3.5 EX V6 24V GASOLINA 4P AUTOMÁTICO,Y,2012/2013,96000 km,São Paulo - SP,Pessoa Física,R$ 70000
HONDA HR-V,1.8 16V FLEX LX 4P AUTOMÁTICO,Y,2016/2016,46339 km,São Paulo - SP,Concessionária,R$ 84900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,7000 km,Niterói - RJ,Pessoa Física,R$ 76990
VOLKSWAGEN SPACEFOX,1.6 MI SPORTLINE 8V FLEX 4P MANUAL,N,2011/2012,112000 km,Rio de Janeiro - RJ,Loja,R$ 29900
CHEVROLET MERIVA,1.8 MPFI PREMIUM 8V FLEX 4P AUTOMATIZADO,Y,2009/2010,145000 km,Curitiba - PR,Pessoa Física,R$ 21800
RENAULT DUSTER,2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL,N,2014/2015,82000 km,Imbé - RS,Pessoa Física,R$ 46500
SUZUKI VITARA,1.6 16V GASOLINA 4ALL AUTOMÁTICO,Y,2020/2020,18000 km,São Paulo - SP,Loja,R$ 104990
CITROËN AIRCROSS,1.6 GLX 16V FLEX 4P MANUAL,N,2011/2011,110000 km,São Paulo - SP,Pessoa Física,R$ 25800
RENAULT CAPTUR,1.6 16V SCE FLEX ZEN MANUAL,N,2018/2019,31000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 75000
CITROËN C3 PICASSO,1.5 FLEX GLX MANUAL,N,2012/2013,56785 km,São Paulo - SP,Concessionária,R$ 34790
FIAT DOBLÒ,1.8 MPI ESSENCE 16V FLEX 4P MANUAL,N,2017/2017,51056 km,São Paulo - SP,Loja,R$ 55490
CHEVROLET COBALT,1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,9640 km,Taubaté - SP,Concessionária,R$ 77900
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,14100 km,Sete Lagoas - MG,Pessoa Física,R$ 84000
VOLKSWAGEN GOLF,1.4 250 TSI TOTAL FLEX VARIANT HIGHLINE TIPTRONIC,Y,2017/2018,30000 km,São Paulo - SP,Loja,R$ 119990
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2018/2019,26000 km,Jaboatão dos Guararapes - PE,Pessoa Física,R$ 112000
JEEP RENEGADE,2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO,Y,2015/2016,87720 km,Nova Lima - MG,Pessoa Física,R$ 97500
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2020/2020,9000 km,São Paulo - SP,Loja,R$ 111990
CHERY TIGGO 2,1.5 MPFI 16V FLEX LOOK 4P AUTOMÁTICO,Y,2018/2019,38797 km,São Paulo - SP,Concessionária,R$ 68500
VOLKSWAGEN JETTA,2.5 I VARIANT 20V 170CV GASOLINA 4P TIPTRONIC,Y,2012/2012,99996 km,Recife - PE,Pessoa Física,R$ 41999
SUZUKI VITARA,1.4 16V TURBO GASOLINA 4STYLE ALLGRIP AUTOMÁTICO,Y,2019/2020,6000 km,Belo Horizonte - MG,Concessionária,R$ 149900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,45232 km,São Paulo - SP,Loja,R$ 53500
CHEVROLET TRACKER,1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO,Y,2015/2015,58451 km,Recife - PE,Concessionária,R$ 64980
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,46800 km,São Paulo - SP,Loja,R$ 55590
NISSAN KICKS,1.6 16V FLEXSTART S 4P XTRONIC,Y,2018/2019,61170 km,São Paulo - SP,Loja,R$ 77900
FORD ECOSPORT,2.0 XLT 16V FLEX 4P AUTOMÁTICO,Y,2011/2012,100000 km,Joinville - SC,Pessoa Física,R$ 35650
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,44630 km,Salvador - BA,Loja,R$ 55900
FIAT IDEA,1.8 MPI ADVENTURE 16V FLEX 4P AUTOMATIZADO,Y,2013/2014,110000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 32000
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,67895 km,Canoas - RS,Loja,R$ 54260
CHEVROLET TRACKER,1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO,Y,2015/2015,46704 km,Santo André - SP,Loja,R$ 72890
TOYOTA ETIOS,1.5 X SEDAN 16V FLEX 4P MANUAL,N,2013/2013,98888 km,Barueri - SP,Pessoa Física,R$ 30000
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2020/2020,10000 km,São Bernardo do Campo - SP,Loja,R$ 124800
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,44524 km,São Paulo - SP,Loja,R$ 54900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,49256 km,São José do Rio Preto - SP,Loja,R$ 55140
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,50149 km,Curitiba - PR,Loja,R$ 108610
VOLKSWAGEN SPACE CROSS,1.6 MI 8V FLEX 4P MANUAL,N,2014/2014,44800 km,São Paulo - SP,Loja,R$ 52990
CHEVROLET SPIN,1.8 ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2016/2017,145000 km,Sorocaba - SP,Concessionária,R$ 53900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,47616 km,Joinville - SC,Loja,R$ 55360
CHEVROLET SPIN,1.8 LT 8V FLEX 4P MANUAL,N,2013/2014,79520 km,São Paulo - SP,Loja,R$ 43890
CITROËN AIRCROSS,1.6 EXCLUSIVE 16V FLEX 4P MANUAL,N,2011/2011,75974 km,Niterói - RJ,Pessoa Física,R$ 31000
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2018/2019,44981 km,Salvador - BA,Loja,R$ 66900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,51341 km,São Paulo - SP,Loja,R$ 54590
RENAULT LOGAN,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,19000 km,Salvador - BA,Pessoa Física,R$ 59990
FORD ECOSPORT,1.6 FREESTYLE 16V FLEX 4P MANUAL,N,2013/2014,82000 km,Belo Horizonte - MG,Pessoa Física,R$ 49000
CITROËN C4 CACTUS,1.6 VTI 120 FLEX FEEL EAT6,Y,2021/2022,0 km,Guarulhos - SP,Concessionária,R$ 88468
FORD ECOSPORT,1.5 TI-VCT FLEX TITANIUM AUTOMÁTICO,Y,2019/2019,21000 km,Recife - PE,Loja,R$ 82900
FORD ECOSPORT,1.5 TI-VCT FLEX SE MANUAL,N,2018/2019,16000 km,São Paulo - SP,Concessionária,R$ 69890
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2017/2017,49591 km,São Paulo - SP,Loja,R$ 80000
FIAT CRONOS,1.3 FIREFLY FLEX DRIVE MANUAL,N,2018/2019,31494 km,São Bernardo do Campo - SP,Loja,R$ 56800
FORD ECOSPORT,1.5 TI-VCT FLEX SE AUTOMÁTICO,Y,2019/2019,12060 km,São Paulo - SP,Loja,R$ 78900
TOYOTA ETIOS,1.5 X PLUS SEDAN 16V FLEX 4P MANUAL,N,2018/2019,53748 km,Goiânia - GO,Loja,R$ 56470
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2019/2020,12500 km,São Paulo - SP,Loja,R$ 107990
RENAULT DUSTER,1.6 16V SCE FLEX DYNAMIQUE X-TRONIC,Y,2019/2020,17288 km,Manaus - AM,Loja,R$ 79210
PEUGEOT 2008,1.6 16V FLEX CROSSWAY 4P AUTOMÁTICO,Y,2019/2019,27200 km,Santos - SP,Concessionária,R$ 79900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX SENSE AUTOMÁTICO,Y,2020/2020,9500 km,Americana - SP,Loja,R$ 104890
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,49642 km,Jundiaí - SP,Loja,R$ 55140
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,54336 km,São Paulo - SP,Loja,R$ 55190
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2018/2019,25482 km,São Paulo - SP,Loja,R$ 90590
CHEVROLET TRACKER,1.4 16V TURBO FLEX MIDNIGHT AUTOMÁTICO,Y,2018/2019,20000 km,São Paulo - SP,Loja,R$ 105990
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2020/2020,22000 km,Rio de Janeiro - RJ,Concessionária,R$ 119900
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,52650 km,Imperatriz - MA,Loja,R$ 108300
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,44769 km,Recife - PE,Loja,R$ 53390
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,47255 km,Cuiabá - MT,Loja,R$ 55270
CHERY TIGGO 2,1.5 MPFI 16V FLEX ACT 4P AUTOMÁTICO,Y,2019/2020,15000 km,São Paulo - SP,Loja,R$ 78900
CHERY ARRIZO 6,1.5 VVT TURBO iFLEX GSX CVT,Y,2020/2021,7308 km,Santo André - SP,Concessionária,R$ 112890
NISSAN KICKS,1.6 16V FLEXSTART S 4P XTRONIC,Y,2018/2019,11748 km,Guarulhos - SP,Loja,R$ 86990
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Concessionária,R$ 100360
VOLKSWAGEN SPACEFOX,1.6 MSI COMFORTLINE 8V FLEX 4P AUTOMATIZADO,Y,2015/2015,72900 km,São Paulo - SP,Loja,R$ 46900
CITROËN C4 GRAND PICASSO,1.6 INTENSIVE 16V TURBO GASOLINA 4P AUTOMÁTICO,Y,2015/2016,79000 km,Caçador - SC,Pessoa Física,R$ 79500
JEEP RENEGADE,1.8 16V FLEX SPORT 4P MANUAL,N,2016/2016,54196 km,São Paulo - SP,Loja,R$ 65890
FIAT IDEA,1.8 MPI ADVENTURE 16V FLEX 4P AUTOMATIZADO,Y,2011/2011,95000 km,Vila Velha - ES,Pessoa Física,R$ 29000
RENAULT CAPTUR,2.0 16V HI-FLEX INTENSE AUTOMÁTICO,Y,2019/2020,34326 km,São Paulo - SP,Loja,R$ 83820
JEEP RENEGADE,2.0 16V TURBO DIESEL TRAILHAWK 4P 4X4 AUTOMÁTICO,Y,2016/2016,64000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 104000
NISSAN KICKS,1.6 16V FLEXSTART S 4P XTRONIC,Y,2019/2019,15546 km,Santo André - SP,Loja,R$ 87860
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2019/2020,17169 km,São Paulo - SP,Concessionária,R$ 119900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,60694 km,Campinas - SP,Loja,R$ 54900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,54441 km,São Paulo - SP,Loja,R$ 54660
JEEP RENEGADE,2.0 16V TURBO DIESEL TRAILHAWK 4P 4X4 AUTOMÁTICO,Y,2020/2020,15848 km,Curitiba - PR,Loja,R$ 150000
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION X-TRONIC,Y,2018/2019,38700 km,São Paulo - SP,Concessionária,R$ 72900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2016/2016,49400 km,São Paulo - SP,Loja,R$ 90990
RENAULT CAPTUR,1.6 16V SCE FLEX ZEN MANUAL,N,2017/2018,30597 km,Santo André - SP,Loja,R$ 76490
FORD ECOSPORT,2.0 TITANIUM 16V FLEX 4P POWERSHIFT,Y,2016/2017,24000 km,Mococa - SP,Pessoa Física,R$ 64000
CHEVROLET TRACKER,1.4 16V TURBO FLEX PREMIER AUTOMÁTICO,Y,2019/2019,37139 km,Uberlândia - MG,Loja,R$ 93640
FORD ECOSPORT,1.5 TI-VCT FLEX SE MANUAL,N,2017/2018,47000 km,São José do Rio Preto - SP,Concessionária,R$ 66500
LIFAN X60,1.8 TALENT 16V GASOLINA 4P MANUAL,N,2016/2016,37000 km,Taubaté - SP,Pessoa Física,R$ 46000
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,38880 km,Porto Alegre - RS,Loja,R$ 82180
FIAT DOBLÒ,1.8 MPI ADVENTURE XINGU 16V FLEX 4P MANUAL,N,2013/2013,121335 km,Japaratinga - AL,Pessoa Física,R$ 42500
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2018/2019,21081 km,Rio de Janeiro - RJ,Concessionária,R$ 102900
FIAT GRAND SIENA,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,N,2013/2014,85011 km,São Paulo - SP,Loja,R$ 36900
CHEVROLET TRACKER,1.4 16V TURBO FLEX LT AUTOMÁTICO,Y,2017/2018,31000 km,Bom Jesus da Lapa - BA,Pessoa Física,R$ 78500
CITROËN C4 CACTUS,1.6 VTI 120 FLEX FEEL EAT6,Y,2019/2020,46785 km,São Paulo - SP,Loja,R$ 75900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 106890
RENAULT CAPTUR,1.6 16V SCE FLEX ZEN MANUAL,N,2018/2019,14000 km,São Paulo - SP,Loja,R$ 79990
RENAULT DUSTER,2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO,Y,2013/2014,64000 km,Barueri - SP,Loja,R$ 53900
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,57592 km,Betim - MG,Loja,R$ 53900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2016/2017,37000 km,São Paulo - SP,Loja,R$ 97890
PEUGEOT 2008,1.6 16V FLEX GRIFFE 4P AUTOMÁTICO,Y,2019/2020,13000 km,Belo Horizonte - MG,Concessionária,R$ 89900
CHEVROLET SPIN,1.8 ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,6000 km,São Paulo - SP,Loja,R$ 89900
CHEVROLET COBALT,1.8 MPFI ELITE 8V FLEX 4P AUTOMÁTICO,Y,2018/2018,30613 km,São Paulo - SP,Loja,R$ 68790
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,1500 km,São Paulo - SP,Loja,R$ 166800
HONDA HR-V,1.5 16V TURBO GASOLINA TOURING 4P AUTOMÁTICO,Y,2019/2020,17200 km,Campinas - SP,Loja,R$ 142990
HYUNDAI CRETA,1.6 16V FLEX PULSE AUTOMÁTICO,Y,2017/2017,40436 km,São Paulo - SP,Loja,R$ 88980
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2019/2020,15800 km,São Paulo - SP,Loja,R$ 118890
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,50705 km,São Paulo - SP,Loja,R$ 52390
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2019/2019,11800 km,São Paulo - SP,Loja,R$ 116000
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,46099 km,Nova Iguaçu - RJ,Loja,R$ 51890
RENAULT CAPTUR,1.6 16V SCE FLEX BOSE X-TRONIC,Y,2020/2021,3972 km,Indaiatuba - SP,Pessoa Física,R$ 98000
HONDA HR-V,1.5 16V TURBO GASOLINA TOURING 4P AUTOMÁTICO,Y,2019/2020,27989 km,São Paulo - SP,Concessionária,R$ 144900
FORD ECOSPORT,1.5 TI-VCT FLEX TITANIUM AUTOMÁTICO,Y,2019/2020,40679 km,Belo Horizonte - MG,Concessionária,R$ 78990
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2018/2018,26000 km,Manaus - AM,Pessoa Física,R$ 92000
CITROËN C4 CACTUS,1.6 VTI 120 FLEX FEEL EAT6,Y,2019/2020,44287 km,São Paulo - SP,Loja,R$ 78900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2017/2018,34000 km,São Paulo - SP,Loja,R$ 80000
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,20500 km,São Paulo - SP,Concessionária,R$ 106900
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX TXS DCT,Y,2019/2020,19000 km,São Paulo - SP,Concessionária,R$ 106900
PEUGEOT 2008,1.6 16V FLEX ALLURE 4P AUTOMÁTICO,Y,2018/2018,25000 km,São Paulo - SP,Loja,R$ 67890
